Date,FSI_Raw,FSI,News
2015-01-01,0.8094829323573028,0.8094829323573028,2015年初，中国股市泡沫膨胀，杠杆炒作加剧。
2015-02-01,0.8965333333333334,0.8147059564158646,无特定事件
2015-03-01,0.5042099972129958,0.7960761988636925,无特定事件
2015-04-01,0.5219533770455416,0.7796288295546034,无特定事件
2015-05-01,0.5274212095393935,0.7644963723536908,无特定事件
2015-06-01,0.5409589909563801,0.7510841294698521,中国股市峰值后崩盘开始，上证指数从5178点暴跌。
2015-07-01,0.5978867746459143,0.7418922881804159,无特定事件
2015-08-01,0.7974762094033698,0.7452273234537931,黑周一：股市8.5%崩盘，全球市场受影响，央行贬值人民币。
2015-09-01,0.8423900120861659,0.7510570847717355,无特定事件
2015-10-01,0.8674670180219394,0.7580416807667477,无特定事件
2015-11-01,0.8507872672173792,0.7636064159537856,无特定事件
2015-12-01,0.7338371090050861,0.7618202575368637,无特定事件
2016-01-01,0.7310072713630528,0.759971478366435,无特定事件
2016-02-01,0.6797459398711467,0.7551579460567177,无特定事件
2016-03-01,0.7212377962638286,0.7531227370691443,无特定事件
2016-04-01,0.6803207082699662,0.7487546153411937,无特定事件
2016-05-01,0.6529177771761473,0.743004405051291,无特定事件
2016-06-01,0.7323071803061744,0.7423625715665839,无特定事件
2016-07-01,0.7327799050038319,0.7417876115728188,无特定事件
2016-08-01,0.6570695096398937,0.7367045254568433,无特定事件
2016-09-01,0.6480959042013077,0.7313880081815112,无特定事件
2016-10-01,0.584191995634177,0.7225562474286711,无特定事件
2016-11-01,0.6396096095353359,0.717579449155071,无特定事件
2016-12-01,0.4736203719564589,0.7029419045231543,无特定事件
2017-01-01,0.7220457509055549,0.7040881353060984,无特定事件
2017-02-01,0.7558921916158101,0.7071963786846811,无特定事件
2017-03-01,0.7522320188456372,0.7098985170943385,无特定事件
2017-04-01,0.6589089122399395,0.7068391408030745,无特定事件
2017-05-01,0.5231284807070958,0.6958165011973158,无特定事件
2017-06-01,0.6779660831227898,0.6947454761128442,无特定事件
2017-07-01,0.5429722773650535,0.6856390841879768,无特定事件
